pairwise_weight,current_final_weight,valid_log_loss,valid_accuracy,valid_macro_f1
1.0,0.0,1.017894247085135,0.4880828114126653,0.4828415438001457
0.9,0.09999999999999998,1.0184549742977516,0.48764787752261657,0.4823692069282229
0.8,0.19999999999999996,1.0203738021807747,0.48747390396659707,0.4822263697309343
0.7,0.30000000000000004,1.0235094753978315,0.4883437717466945,0.4831809515079706
0.6,0.4,1.027796229841126,0.48964857341684065,0.48461451228662283
0.5,0.5,1.0332074457124378,0.48860473208072375,0.48357958389424344
0.45,0.55,1.0363339825245854,0.48956158663883087,0.4846845601319773
0.4,0.6,1.0397437100027107,0.4880828114126653,0.4831976611535198
0.35,0.65,1.0434404169006921,0.48782185107863607,0.48305584237200244
0.3,0.7,1.0474291973871659,0.4869519832985386,0.48248894409175563
0.25,0.75,1.0517167575620237,0.48538622129436326,0.48113955191115926
0.2,0.8,1.0563112854065373,0.48416840640222686,0.48010324873527904
0.15,0.85,1.0612227701998793,0.4826026443980515,0.4788161535450532
0.1,0.9,1.066463131083006,0.4805149617258177,0.4770587194892708
0.05,0.95,1.0720464817878415,0.4771224773834377,0.4742697227946451
0.0,1.0,1.0779895249900804,0.39639874739039666,0.39723970985629614
